Freq (hertz)	SPL (dB)	WPhase (deg)
891.89  	104.55  	168.88  
904.74  	104.63  	165.54  
917.77  	104.70  	162.09  
930.99  	104.74  	158.55  
944.40  	104.78  	154.92  
958.00  	104.79  	151.23  
971.80  	104.79  	147.49  
985.80  	104.77  	143.73  
1000.00 	104.74  	139.96  
1014.40 	104.70  	136.20  
1029.02 	104.65  	132.46  
1043.84 	104.60  	128.76  
1058.88 	104.54  	125.09  
1074.13 	104.49  	121.47  
1089.60 	104.44  	117.89  
1105.30 	104.39  	114.34  
1121.22 	104.36  	110.81  
1137.37 	104.33  	107.30  
1153.75 	104.32  	103.77  
1170.37 	104.32  	100.22  
1187.23 	104.34  	96.63   
1204.33 	104.37  	92.96   
1221.68 	104.41  	89.21   
1239.28 	104.47  	85.34   
1257.13 	104.53  	81.34   
1275.23 	104.60  	77.20   
1293.60 	104.67  	72.89   
1312.24 	104.74  	68.43   
1331.14 	104.80  	63.80   
1350.31 	104.85  	59.03   
1369.76 	104.88  	54.14   
1389.50 	104.89  	49.15   
1409.51 	104.88  	44.11   
1429.81 	104.86  	39.04   
1450.41 	104.81  	34.00   
1471.30 	104.75  	29.01   
1492.50 	104.69  	24.10   
1513.99 	104.62  	19.30   
1535.80 	104.55  	14.61   
1557.93 	104.49  	10.02   
1580.37 	104.45  	5.53    
1603.13 	104.41  	1.11    
1626.22 	104.40  	-3.28   
1649.65 	104.41  	-7.66   
1673.41 	104.44  	-12.09  
1697.52 	104.48  	-16.59  
1721.97 	104.54  	-21.21  
1746.77 	104.62  	-25.98  
1771.93 	104.69  	-30.92  
1797.46 	104.77  	-36.06  
1823.35 	104.84  	-41.40  
1849.61 	104.90  	-46.93  
1876.26 	104.94  	-52.63  
1903.28 	104.96  	-58.45  
1930.70 	104.95  	-64.36  
1958.51 	104.93  	-70.31  
1986.72 	104.90  	-76.26  
2015.34 	104.85  	-82.19  
2044.37 	104.81  	-88.10  
2073.82 	104.77  	-93.98  
2103.69 	104.75  	-99.88  
2133.99 	104.74  	-105.84 
2164.73 	104.76  	-111.90 
2195.91 	104.78  	-118.11 
2227.54 	104.83  	-124.53 
2259.63 	104.87  	-131.17 
2292.18 	104.91  	-138.05 
2325.20 	104.94  	-145.15 
2358.69 	104.94  	-152.40 
2392.67 	104.93  	-159.74 
2427.13 	104.89  	-167.09 
2462.09 	104.84  	-174.38 
2497.56 	104.78  	178.42  
2533.53 	104.73  	171.34  
2570.03 	104.70  	164.33  
2607.05 	104.69  	157.34  
2644.60 	104.71  	150.30  
2682.70 	104.75  	143.12  
2721.34 	104.81  	135.74  
2760.54 	104.88  	128.11  
2800.30 	104.93  	120.21  
2840.64 	104.97  	112.08  
2881.56 	104.98  	103.79  
2923.07 	104.96  	95.40   
2965.17 	104.93  	87.00   
3007.88 	104.89  	78.60   
3051.21 	104.86  	70.20   
3095.16 	104.85  	61.74   
3139.75 	104.86  	53.14   
3184.97 	104.88  	44.31   
3230.85 	104.92  	35.18   
3277.39 	104.94  	25.77   
3324.60 	104.95  	16.11   
3372.49 	104.93  	6.32    
3421.07 	104.89  	-3.48   
3470.35 	104.84  	-13.21  
3520.33 	104.81  	-22.85  
3571.04 	104.79  	-32.46  
3622.48 	104.81  	-42.15  
3674.66 	104.86  	-52.04  
3727.59 	104.91  	-62.24  
3781.29 	104.96  	-72.76  
3835.76 	104.98  	-83.53  
3891.01 	104.97  	-94.44  
3947.06 	104.94  	-105.40 
4003.91 	104.91  	-116.36 
4061.59 	104.89  	-127.38 
4120.09 	104.90  	-138.59 
4179.44 	104.92  	-150.10 
4239.64 	104.94  	-161.97 
4300.71 	104.95  	-174.14 
4362.66 	104.92  	173.54  
4425.50 	104.88  	161.23  
4489.25 	104.85  	148.98  
4553.92 	104.84  	136.73  
4619.51 	104.87  	124.32  
4686.06 	104.92  	111.58  
4753.56 	104.97  	98.47   
4822.03 	104.98  	85.07   
4891.49 	104.96  	71.54   
4961.95 	104.93  	57.99   
5033.42 	104.91  	44.37   
5105.93 	104.92  	30.53   
5179.47 	104.94  	16.30   
5254.08 	104.95  	1.68    
5329.77 	104.93  	-13.18  
5406.54 	104.89  	-28.07  
5484.42 	104.87  	-42.93  
5563.42 	104.89  	-57.90  
5643.56 	104.93  	-73.19  
5724.85 	104.97  	-88.90  
5807.31 	104.97  	-104.94 
5890.96 	104.95  	-121.09 
5975.82 	104.92  	-137.27 
6061.90 	104.92  	-153.65 
6149.22 	104.94  	-170.43 
6237.79 	104.94  	172.35  
6327.65 	104.92  	154.89  
6418.79 	104.89  	137.41  
6511.25 	104.90  	119.86  
6605.04 	104.93  	101.98  
6700.19 	104.97  	83.63   
6796.70 	104.97  	64.94   
