Freq (hertz)	SPL (dB)	WPhase (deg)
  540.65	   94.74	 -132.87
  548.44	   94.45	 -134.99
  556.34	   94.17	 -137.03
  564.36	   93.89	 -139.00
  572.48	   93.62	 -140.92
  580.73	   93.35	 -142.77
  589.10	   93.10	 -144.59
  597.58	   92.85	 -146.36
  606.19	   92.61	 -148.09
  614.92	   92.37	 -149.80
  623.78	   92.15	 -151.49
  632.76	   91.93	 -153.17
  641.88	   91.72	 -154.84
  651.13	   91.52	 -156.50
  660.50	   91.33	 -158.17
  670.02	   91.15	 -159.85
  679.67	   90.98	 -161.56
  689.46	   90.82	 -163.28
  699.39	   90.67	 -165.04
  709.47	   90.52	 -166.84
  719.69	   90.39	 -168.69
  730.05	   90.26	 -170.60
  740.57	   90.14	 -172.56
  751.24	   90.03	 -174.61
  762.06	   89.92	 -176.73
  773.03	   89.82	 -178.94
  784.17	   89.73	  178.75
  795.47	   89.64	  176.33
  806.92	   89.55	  173.80
  818.55	   89.46	  171.14
  830.34	   89.37	  168.36
  842.30	   89.28	  165.44
  854.43	   89.18	  162.39
  866.74	   89.07	  159.20
  879.22	   88.96	  155.88
  891.89	   88.83	  152.44
  904.74	   88.68	  148.87
  917.77	   88.51	  145.20
  930.99	   88.33	  141.44
  944.40	   88.12	  137.61
  958.00	   87.89	  133.74
  971.80	   87.64	  129.84
  985.80	   87.36	  125.94
 1000.00	   87.06	  122.06
 1014.40	   86.75	  118.22
 1029.02	   86.42	  114.43
 1043.84	   86.08	  110.70
 1058.88	   85.73	  107.03
 1074.13	   85.37	  103.44
 1089.60	   85.01	   99.92
 1105.30	   84.65	   96.45
 1121.22	   84.29	   93.04
 1137.37	   83.94	   89.66
 1153.75	   83.60	   86.31
 1170.37	   83.26	   82.96
 1187.23	   82.94	   79.60
 1204.33	   82.63	   76.20
 1221.68	   82.33	   72.75
 1239.28	   82.04	   69.22
 1257.13	   81.76	   65.59
 1275.23	   81.49	   61.85
 1293.60	   81.23	   57.97
 1312.24	   80.96	   53.95
 1331.14	   80.69	   49.78
 1350.31	   80.42	   45.46
 1369.76	   80.13	   41.01
 1389.50	   79.83	   36.43
 1409.51	   79.51	   31.76
 1429.81	   79.18	   27.03
 1450.41	   78.84	   22.26
